location_name,english_address,intro,OWI,topic
19. Haedong Yonggungsa,"86, Yonggung-gil, Gijang-eup, Gijang-gun, Busan","Haedong Yonggung Temple is a Buddhist temple in Gijang-gun, Busan, South Korea. As such, combined with its proximity to Haeundae Beach and the east side of Busan, the temple is popular with sightseers, particularly during Buddha's Birthday celebrations when the complex is decorated with paper lanterns. It honors Haesu Gwaneum Daebul, the Sea Goddess Buddha of Mercy, who is an aspect of Gwaneum.",0.175,"{'positive': {'topic': None, 'phrase': None}, 'negative': {'topic': 'History/Culture', 'phrase': 'Exhibits may feel lacking.'}}"
2. Myeongdong Shopping Street,"8, Myeongdong 3-gil, Jung-gu, Seoul","Myeong-dong is a dong (neighborhood) in Jung District, Seoul, South Korea. It is between Chungmu-ro, Eulji-ro, and Namdaemun-ro. Myeongdong is known for being one of Seoul's main shopping, parade route, and tourism districts. In 2023, it was listed as the ninth most expensive shopping street in the world.",0.407,"{'positive': {'topic': None, 'phrase': None}, 'negative': {'topic': 'Shopping', 'phrase': 'Shopping can feel touristy/pricey.'}}"
20. Spirited Garden,"1525-6, Jeoji-ri, Hangyeong-myeon, Jeju-si, Jeju-do","Spirited Garden is home to hundreds of bonsai trees set within a natural landscape inspired by oreum (volcanic cones) and water. More than just a tourist attraction, it offers experiential content centered on K-Wellness and self-reflection, drawing inspiration from traditional Korean garden aesthetics.",0.128,"{'positive': {'topic': None, 'phrase': None}, 'negative': {'topic': 'Nature', 'phrase': 'Outdoor areas can disappoint.'}}"
21. Namsan Park,"125-54, Namsangongwon-gil, Jung-gu, Seoul","Namsan Park is a 270-metre-high (890 ft) peak in Jung District, Seoul, South Korea. It was also known as Mongmyeoksan in the past. It offers some hiking, picnic areas and views of downtown Seoul's skyline. Namsan Seoul Tower is located at the summit of Namsan.",0.204,"{'positive': {'topic': 'Nature', 'phrase': 'Beautiful natural scenery!'}, 'negative': {'topic': 'Scenery', 'phrase': 'Views depend heavily on weather.'}}"
22. Bongeunsa Temple,"531, Bongeunsa-ro, Gangnam-gu, Seoul","Bongeunsa is a Korean Buddhist temple located in Samseong-dong, Gangnam District, Seoul, South Korea. It was founded in 794 during the reign of King Wonseong by State Preceptor Yeonhoe, then the highest ranking monk of Silla. The temple was originally named Gyeonseongsa. It is located on the slope of Sudo Mountain, across the street from the COEX Mall.",0.277,"{'positive': {'topic': None, 'phrase': None}, 'negative': {'topic': 'Shopping', 'phrase': 'Shopping can feel touristy/pricey.'}}"
23. Gwangalli Beach,"219, Gwanganhaebyeon-ro, Suyeong-gu","Gwangalli Beach is a beach in Gwangan 2(i)-dong, Suyeong District, Busan, South Korea. It is west of Haeundae Beach. It sits inside a cove spanned by the Gwangan Bridge and covers 82,000 square meters over a length of 1.4 km and a width of 25 to 110 metres, in a curved in a half-moon shape with fine sand.",0.317,"{'positive': {'topic': 'Scenery', 'phrase': 'Stunning views!'}, 'negative': {'topic': 'Nature', 'phrase': 'Outdoor areas can disappoint.'}}"
24. Bulguksa Temple,"385, Bulguk-ro, Gyeongju-si, Gyeongsangbuk-do","Bulguksa is a head temple of the Jogye Order of Korean Buddhism and contains six National Treasures, including the Dabotap and Seokgatap stone pagodas, Cheongun-gyo (Blue Cloud Bridge), and two gilt-bronze statues of Buddha. The temple is classified as a Historic Site by the South Korean government. In 1995, Bulguksa and the nearby Seokguram Grotto were added to the UNESCO World Heritage List.",0.133,"{'positive': {'topic': None, 'phrase': None}, 'negative': {'topic': 'Family/Kids', 'phrase': 'Can be hectic with kids around.'}}"
25. Sea Life Coex Seoul Aquarium,"513, Yeongdong-daero, Gangnam-gu, Seoul","The COEX Aquarium comprises 183 display tanks and 90 breeding tanks with 3,500 tons of water volume, making it a large-scale aquarium. It houses 40,000 sea creatures of 650 different species, exhibited in 16 themed zones. In particular, the highest number of sharks and the largest variety of species in Korea are living in this aquarium. Over 20 rest areas located throughout the aquarium, as well as an open-top water tank releasing anions make this tourist site in the heart of Gangnam a perfect healing place for local and international visitors.",0.392,"{'positive': {'topic': None, 'phrase': None}, 'negative': {'topic': 'Exhibits', 'phrase': 'Exhibits may feel underwhelming.'}}"
26. Myeongdong NANTA Theater,"26, Myeongdong 2-gil, Jung-gu, Seoul","Nanta, Korea's representative non-verbal performance, opened their fourth exclusive theater in Myeong-dong, the center of shopping. The 386-seat theater is located within the UNESCO Building. It is the largst of the Nanta theaters, and was the first to present foreign actors within the performances. There are 3 shows every day, all year round.",0.353,"{'positive': {'topic': None, 'phrase': None}, 'negative': {'topic': 'Performance', 'phrase': 'Show schedule can be inconvenient.'}}"
27. National Folk Museum of Korea,"161, Sajik-ro, Jongno-gu, Seoul","National Folk Museum of Korea is a national museum located on the grounds of Gyeongbokgung in Jongno District, Seoul, South Korea. It uses replicas of historical objects to illustrate the history of traditional life of the Korean people.",0.254,"{'positive': {'topic': 'History/Culture', 'phrase': 'Rich history & culture!'}, 'negative': {'topic': 'Nature', 'phrase': 'Outdoor areas can disappoint.'}}"
28. Hwaseong Fortress,"20, Changnyong-daero 103beon-gil, Paldal-gu, Suwon-si, Gyeonggi-do","Hwaseong Fortress was built from 1794 to 1796 by King Jeongjo of the Joseon dynasty to house and honour the remains of his father, Prince Sado. Sado had been executed by being locked alive inside a rice chest by his own father King Yeongjo after failing to obey a command to commit suicide. Located 30 kilometres (19 mi) south of Seoul and enclosing much of central Suwon, the fortress includes King Jeongjo's palace Haenggung.",0.239,"{'positive': {'topic': 'Transport', 'phrase': 'Easy to get to!'}, 'negative': {'topic': 'History/Culture', 'phrase': 'Exhibits may feel lacking.'}}"
29. BIFF Square,"44, Gudeok-ro, Jung-gu, Busan","Busan’s modern movie district was originally little more than a pair of cinemas that were built following Korea’s liberation from Japanese colonial rule over half a century ago. However, major renovations took place ahead of the first Busan International Film Festival (BIFF), and the newly transformed district was named BIFF Square on September 13, 1996.",0.4,"{'positive': {'topic': None, 'phrase': None}, 'negative': {'topic': 'Food', 'phrase': 'Food options may disappoint.'}}"
3. N Seoul Tower,"103, Namsangongwon-gil, Yongsan-gu, Seoul","N Seoul Tower also known as the YTN Seoul Tower, Namsan Tower, Seoul Tower or N Seoul Tower, is a communication and observation tower located on the summit of Namsan in central Seoul, South Korea. The 236-metre-tall (774 ft) structure was the nation’s first tower servicing multiple TV and radio broadcasters, and is considered a landmark and symbol of the city.",0.242,"{'positive': {'topic': 'Scenery', 'phrase': 'Stunning views!'}, 'negative': {'topic': 'History/Culture', 'phrase': 'Exhibits may feel lacking.'}}"
30. Korean Folk Village,"90, Minsokchon-ro, Giheung-gu, Yongin-si, Gyeonggi-do","Korean Folk Village is a living museum type of tourist attraction in the city of Yongin, a satellite city in the Seoul Metropolitan Area in the province of Gyeonggi in South Korea. It was first opened on October 3, 1974 (ground breaking in 1973 and completion in 1974). Korean Folk Village is a popular tourist destination for both Koreans and foreigners, located near South Korea's largest amusement park, Everland.",0.231,"{'positive': {'topic': 'Family/Kids', 'phrase': 'Great for families & kids!'}, 'negative': {'topic': 'History/Culture', 'phrase': 'Exhibits may feel lacking.'}}"
31. Jeongbang Waterfall,"37, Chilsimni-ro 214beon-gil, Seogwipo-si, Jeju-do,","Jeongbang Waterfall is a waterfall and popular tourist attraction located in Seogwipo, Jeju Province, South Korea. The waterfall is 23 m (75 ft) high and is very close to the ocean. Depending on the level of recent rainfall, it can be up 8 m (26 ft) wide. The source of the waterfall is the stream Donghong-cheon. It is considered to be one of Yeongjusipgeong, the ten greatest scenic wonders of Jeju Island.",0.293,"{'positive': {'topic': 'Scenery', 'phrase': 'Stunning views!'}, 'negative': {'topic': 'Nature', 'phrase': 'Outdoor areas can disappoint.'}}"
32. DMZ,"310, Je3ttanggul-ro, Jangdan-myeon, Paju-si, Gyeonggi-do","DMZ is an area in which treaties or agreements between states, military powers or contending groups forbid military installations, activities, or personnel. A DZ often lies along an established frontier or boundary between two or more military powers or alliances.",0.314,"{'positive': {'topic': 'Guided Tour', 'phrase': 'Guided tours are worth it!'}, 'negative': {'topic': None, 'phrase': None}}"
33. Songdo Cable Car,"171, Songdohaebyeon-ro, Seo-gu, Busan","The Songdo Sea Cable Car Busan Accrues, constructed by the world's leading cable car industry, is the only one in Korea to have a direct anti-war car (return station) drive system that is operated in a secure monocable gondola system.",0.311,"{'positive': {'topic': 'Nature', 'phrase': 'Beautiful natural scenery!'}, 'negative': {'topic': 'Tickets/Price', 'phrase': 'Check tickets & reservations in advance.'}}"
34. Daepo Haean Jusangjeolli Cliff,"36-24, Ieodo-ro, Seogwipo-si, Jeju-do","Daepo Jusangjeolli Cliff is a stone pillar formed by lava that flowed out of the crater and contracted as it cooled rapidly. It is characterized by its polygonal staircase-like form. The stones are 30 to 40 meters high, hexagonal in shape, and line the coast for about 1 kilometer. The constant crashing of the waves is a highlight not to be missed. ",0.177,"{'positive': {'topic': None, 'phrase': None}, 'negative': {'topic': 'Nature', 'phrase': 'Outdoor areas can disappoint.'}}"
35. Jogyesa Temple,"55, Ujeongguk-ro, Jongno-gu, Seoul","Jogyesa Temple is the chief temple of the Jogye Order of Korean Buddhism. The building dates back to the late 14th century and became the order's chief temple in 1936. It thus plays a leading role in the current state of Seon Buddhism in South Korea. The temple was first established in 1395, at the dawn of the Joseon period; the modern temple was founded in 1910 and initially called ""Gakhwangsa"".",0.331,"{'positive': {'topic': 'History/Culture', 'phrase': 'Rich history & culture!'}, 'negative': {'topic': 'Guided Tour', 'phrase': 'Tour operation can be inconvenient.'}}"
36. Namsangol Hanok Village,"28, Toegye-ro 34-gil, Jung-gu, Seoul","Namsangol Hanok Village is a recreated village of historical Korean buildings in Pil-dong, Jung District, Seoul, South Korea. The village contains several Korean traditional houses called hanok. The Namsangol Hanok Village offers one the opportunity to experience a wide cross-section of Joseon-era citizenry and activities, from royalty to commoners.",0.324,"{'positive': {'topic': None, 'phrase': None}, 'negative': {'topic': 'History/Culture', 'phrase': 'Exhibits may feel lacking.'}}"
37. Donggung Palace and Wolji Pond,"102, Wonhwa-ro, Gyeongju-si, Gyeongsangbuk-do","Donggung Palace and Wolji Pond are a Silla-era former palace and artificial pond in Gyeongju, South Korea. They were part of the palace complex of ancient Silla (57 BCE – 935 CE). It was constructed by order of King Munmu in 674 CE. The pond was formerly known as Anapji (안압지) and is situated at the northeast edge of the Wolseong Palace, in central Gyeongju.",0.127,"{'positive': {'topic': None, 'phrase': None}, 'negative': {'topic': 'Scenery', 'phrase': 'Views depend heavily on weather.'}}"
38. Ikseon-dong Hanok Street,"33-11, Supyo-ro 28-gil, Jongno-gu","Ikseon-dong borders Unni-dong to the north, Donui-dong to the south, Nagwon-dong to the west, and Yaryong-dong and Myo-dong to the east. Transportation is convenient thanks to the nearby Samil-daero and Donhwamun-ro, and Jongno 3-ga station on the subway. Within the dong are the Jongno 1·2·3·4-ga-dong Community Center and the 'Uri Sori Library', among other facilities. As of 2020, the population is around 1,000.",0.411,"{'positive': {'topic': 'Shopping', 'phrase': 'Great for shopping!'}, 'negative': {'topic': 'Food', 'phrase': 'Food options may disappoint.'}}"
39. Jeonju Hanok Village,"44, Taejo-ro, Wansan-gu, Jeonju-si, Jeonbuk-do","Jeonju Hanok Village is a village in the city of Jeonju, South Korea, and overlaps with the Pungnam-dong and Gyo-dong neighborhoods. The village contains over 800 Korean traditional houses called Hanok. The village is famous among Koreans and tourists because of its traditional buildings that strongly contrast with the modern city around it.",0.369,"{'positive': {'topic': 'Transport', 'phrase': 'Easy to get to!'}, 'negative': {'topic': 'History/Culture', 'phrase': 'Exhibits may feel lacking.'}}"
4. National Museum Of Korea,"137, Seobinggo-ro, Yongsan-gu, Seoul","National Museum Of Korea is the flagship museum of Korean history and art in South Korea. Since its establishment in 1945, the museum has been committed to various studies and research activities in the fields of archaeology, history, and art, continuously developing a variety of exhibitions and education programs.",0.152,"{'positive': {'topic': 'Family/Kids', 'phrase': 'Great for families & kids!'}, 'negative': {'topic': 'History/Culture', 'phrase': 'Exhibits may feel lacking.'}}"
42. Gwanghwamun Gate,"161, Sajik-ro, Jongno-gu, Seoul","Gwanghwamun Gate is located at a three-way intersection at the northern end of Sejongno. As a landmark and symbol of Seoul's history as the capital of Joseon, the gate has gone through multiple periods of destruction and disrepair. The most recent large-scale restoration work on the gate was finished and it was opened to the public on August 15, 2010.",0.307,"{'positive': {'topic': None, 'phrase': None}, 'negative': {'topic': 'Performance', 'phrase': 'Show schedule can be inconvenient.'}}"
43. Seoul Arts Center,"2406, Nambusunhwan-ro, Seocho-gu, Seoul","The Seoul Arts Center consists of five main buildings: the Opera House, with three auditoriums; the Music Hall, with two concert halls; the Hangaram Art Museum; the Hangaram Design Museum; and the Seoul Calligraphy Art Museum. The Opera House is built in a shape that resembles the traditional Korean bamboo hat called gat.",0.258,"{'positive': {'topic': None, 'phrase': None}, 'negative': {'topic': 'Exhibits', 'phrase': 'Exhibits may feel underwhelming.'}}"
44. Changgyeonggung Palace,"185, Changgyeonggung-ro, Jongno-gu, Seoul","Changgyeonggung Palace was built in the mid-15th century by King Sejong for his father, Taejong. It was originally named ""Suganggung"", but it was renovated and enlarged in 1483 by King Seongjong, at which time it received its current name. Many structures were destroyed during the Imjin War, Japan's late 15th to 16th (1592) century attempts to conquer Korea and invade China.",0.263,"{'positive': {'topic': 'History/Culture', 'phrase': 'Rich history & culture!'}, 'negative': {'topic': None, 'phrase': None}}"
45. Insadong Spa & Sauna,"36, Yulgok-ro 6-gil, Jongno-gu, Seoul","Insadong Spa & Sauna offer cool refuge from summer heat and comforting warmth in winter. Your journey begins in our traditional sauna. Experience the purifying heat of a classic jjimjilbang, the reason travelers worldwide give our treatments rave reviews. First, let the world-renowned Korean Body Scrub exfoliate away travel dullness, revealing silken, radiant skin. It’s a true transformation.",0.675,"{'positive': {'topic': None, 'phrase': None}, 'negative': {'topic': 'History/Culture', 'phrase': 'Exhibits may feel lacking.'}}"
47. Gyeongju National Museum,"186, Iljeong-ro, Gyeongju-si, Gyeongsangbuk-do","Gyeongju National Museum is a museum in Gyeongju, South Korea. Its holdings are largely devoted to relics of the Silla kingdom, of which Gyeongju was the capital. The museum is located immediately adjacent to the royal tomb complex, in an area which also includes the Gyerim forest, Cheomseongdae observatory, Banwolseong palace, and Anapji Pond.",0.098,"{'positive': {'topic': 'Tickets/Price', 'phrase': 'Good value for money!'}, 'negative': {'topic': 'History/Culture', 'phrase': 'Exhibits may feel lacking.'}}"
48. The War and Women's Human Rights Museum,"39-6, Seongsan-dong, Mapo-gu, Seoul","The War and Women’s Human Rights Museum is a space dedicated to remembering and educating about the history of Japanese military “comfort women” victim-survivors and works towards the just resolution of the Japanese military sexual slavery issue. The museum is also a space for solidarity and action, raising awareness about ongoing issues of sexual violence in conflict zones and standing in solidarity for a world free from war and violence against women.",0.774,"{'positive': {'topic': None, 'phrase': None}, 'negative': {'topic': 'Guided Tour', 'phrase': 'Tour operation can be inconvenient.'}}"
49. Woljeonggyo Bridge,"274, Gyo-dong, Gyeongju-si, Gyeongsangbuk-do","Woljeonggyo Bridge is a covered bridge in Gyeongju, South Korea. Originally built in 760 A.D.[a] during the Unified Silla period and lost during the Joseon period, it was rebuilt and opened in April 2018. On November 27, 2004, the sites of and its counterpart former bridge Iljeonggyo were designated Historic Sites of South Korea.",0.174,"{'positive': {'topic': 'History/Culture', 'phrase': 'Rich history & culture!'}, 'negative': {'topic': None, 'phrase': None}}"
5. Insadong,"44, Insadong-gil, Jongno-gu, Seoul","Insadong is connected to a number of alleys that lead deeper into the district,[1] with modern galleries and tea shops.[2] Historically, it was the largest market for antiques and artwork in Korea.",0.359,"{'positive': {'topic': 'Shopping', 'phrase': 'Great for shopping!'}, 'negative': {'topic': 'History/Culture', 'phrase': 'Exhibits may feel lacking.'}}"
50. Aroma Thai Spa Gongdeok,"16-10, Dohwa-dong, Mapo-gu, Seoul",Aroma Thai Spa Gongdeok has been open for 15 years. our all therapists have a 20 years of the experience . and We have been transformed into through the experiences of many Koreans over a long period of time. it's not original thai style. It's a mix of Thai and Korea styles. so you can feel our story in your massage. Our value is a review of our guests' visit Please check the experience of many customers for a long time and use it. ,0.329,"{'positive': {'topic': 'Family/Kids', 'phrase': 'Great for families & kids!'}, 'negative': {'topic': 'History/Culture', 'phrase': 'Exhibits may feel lacking.'}}"
51. Spa Gogyeol,"13, Seolleung-ro 132-gil, Gangnam-gu, Seoul","Spa Gogyeol is a premium luxury wellness spa in Korea, trusted by both domestic and international clients. Ranked No.1 in the Seoul Spa category by TripAdvisor 2025 Selected as one of Korea’s Top 100 Beauty & Wellness Companies 2025 Over 2,000 Google reviews with a perfect 5.0 rating Reinterpreting the philosophy of “Qi (energy) circulation” from traditional Korean medicine into a modern therapeutic system",0.351,"{'positive': {'topic': 'Therapeutic Massage', 'phrase': 'Visitors love it!'}, 'negative': {'topic': None, 'phrase': None}}"
53. Nami Island,"1, Namiseom-gil, Namsan-myeon, Chuncheon-si, Gangwon-do","Namiseom or Nami Island is a half-moon shaped river island, formed as the land around it was inundated by the rising water of the Bukhan River (northern part of the Han River) as the result of the construction of Cheongpyeong Dam in 1944.",0.206,"{'positive': {'topic': 'Family/Kids', 'phrase': 'Great for families & kids!'}, 'negative': {'topic': 'Nature', 'phrase': 'Outdoor areas can disappoint.'}}"
54. Lavish Spa,"6-4, Dongsung 3-gil, Jongno-gu, Seoul","Lavish Spa offers programs designed for beauty, healthy rejuvenation, and relaxation. Experience high-quality traditional wellness services through treatments using natural products extracted from nature, rather than chemical ingredients.",0.556,"{'positive': {'topic': 'Therapeutic Massage', 'phrase': 'Visitors love it!'}, 'negative': {'topic': None, 'phrase': None}}"
55. Bugak Palgakjeong Pavilion,"267, Bugaksan-ro, Jongno-gu, Seoul","Bugak Palgakjeong Pavilion is a tourist road that stretches over 10 kilometers along the ridges of Bugaksan Mountain all the way into Jahamun Gate and Jeongneung Arirang Pass. Palgakjeong Pavilion, situated at the center of the road at an altitude of 342 meters, is a hanok type pavilion spanning over 652 meters that retains the beauty of traditional Korean architecture.",0.267,"{'positive': {'topic': 'Scenery', 'phrase': 'Stunning views!'}, 'negative': {'topic': None, 'phrase': None}}"
56. The Spa Grand Hyatt Seoul,"361, Sowol-ro, Yongsan-gu, Seoul","The Spa features a variety of treatments including a Korean Massage, Aromatherapy, and Aroma Stone treatment. Treatments incorporate ancient Korean techniques such as six year old ginseng and a blend of traditional Korean herbs. These techniques are blended with European spa traditions to deliver a deluxe spa experience. Our spa offers 14 luxurious spa suites and treatment rooms where you will find yourself immersed in a sanctuary of tranquility.",0.646,"{'positive': {'topic': 'Professional Massage', 'phrase': 'Visitors love it!'}, 'negative': {'topic': None, 'phrase': None}}"
59. Theyounglong,"San14-21, Jangchung-dong 2(i)-ga, Jung-gu, Seoul",Theyounglong is a Korean traditional craft NAJEONCHILGI workshop. You can learn Korean mother-of-pearl craft and make your own souvenir!,0.193,"{'positive': {'topic': 'History/Culture', 'phrase': 'Rich history & culture!'}, 'negative': {'topic': None, 'phrase': None}}"
6. The War Memorial of Korea,"29, Itaewon-ro, Yongsan-gu, Seoul",The War Memorial of Korea opened in 1994 on the former site of the army headquarters to exhibit and memorialize the military history of Korea. It was built for the purpose of preventing war through lessons from the Korean War and for the hoped for peaceful reunification of North and South Korea.,0.328,"{'positive': {'topic': 'History/Culture', 'phrase': 'Rich history & culture!'}, 'negative': {'topic': 'Transport', 'phrase': 'Be cautious about transportation.'}}"
7. Bukchon Hanok Village,"31-78, Gahoe-dong, Jongno-gu, Seoul","Bukchon Hanok Village is a residential neighborhood. It has many restored traditional Korean houses, called hanok. This has made it a popular tourist destination. The area contains many hanok that date to the late 19th and early 20th centuries.",0.324,"{'positive': {'topic': 'History/Culture', 'phrase': 'Rich history & culture!'}, 'negative': {'topic': 'Crowds', 'phrase': 'Very crowded — expect waiting.'}}"
8. Changdeokgung Palace,"101, Daehak-ro, Jongno-gu, Seoul","Changdeokgung is a former royal palace in Seoul, South Korea. A UNESCO World Heritage Site and a Historic Site of South Korea, it is among the best preserved of all Korean palaces. It and its neighboring palace Changgyeonggung have together been called the ""East Palace"".",0.325,"{'positive': {'topic': None, 'phrase': None}, 'negative': {'topic': 'History/Culture', 'phrase': 'Exhibits may feel lacking.'}}"
9. Cheonggyecheon Stream,"71, Cheonggyecheon-ro, Jongno-gu, Seoul","Cheonggyecheon is a 10.9-kilometre-long (6.8 mi) stream and public space in downtown Seoul, South Korea. A natural stream sourced from the Suseongdong Valley in Inwangsan, it was historically maintained as part of Seoul's early sewerage until the mid-20th century",0.357,"{'positive': {'topic': 'Shopping', 'phrase': 'Great for shopping!'}, 'negative': {'topic': 'Family/Kids', 'phrase': 'Can be hectic with kids around.'}}"
